ph	Hardness	Solids	Chloramines	Sulfate	Conductivity	Organic_carbon	Trihalomethanes	Turbidity	Potability
6.692.531.669.059.860	20.040.435.093.805.600	37.033.152.091.371.700	47.270.723.230.968.800	2.808.449.162.117.160	3.766.727.942.156.420	1.248.525.698.991.660	578.184.837.106.709	29.421.153.671.384.100	0
6.028.101.118.266.440	26.280.847.774.427.100	1.715.010.054.999.000	9.378.390.092.203.820	38.030.135.015.969.700	514.545.672.099.499	20.637.598.734.129.300	7.652.907.700.861.660	4.080.786.271.348.120	0
6.715.940.563.939.270	21.806.238.354.730.400	17.180.188.184.343.600	8.915.970.937.560.090	3.932.757.718.326.050	3.490.030.699.501.280	14.354.595.084.553.200	5.724.708.237.694.070	24.047.292.060.079.900	0
7.490.786.675.734.910	20.245.806.075.548.300	26.551.370.104.695.500	712.077.230.286.162	3.129.340.248.000.830	30.634.556.250.687.900	1.799.816.009.986.300	6.735.607.867.941.560	4.354.535.490.634.880	0
6.336.588.682.161.130	1.063.801.125.414.630	1.557.014.232.208.760	6.851.404.882.360.640	4.415.876.537.823.700	3.804.330.193.873.430	5.218.232.927.132.190	487.355.139.639.406	4.356.593.856.228.120	0
7.381.757.557.406.790	20.346.030.160.970.700	13.720.910.434.922.200	11.129.153.658.303.900	4.757.374.601.531.330	36.134.249.562.314.700	16.548.438.388.766.100	55.132.546.193.094.400	33.380.217.586.877.400	0
7.256.015.038.533.900	1.966.498.225.540.420	4.418.423.045.950.250	5.265.557.586.247.640	26.042.560.464.845.400	3.242.501.475.903.340	8.148.929.054.665.640	693.750.440.847.648	4.534.960.272.538.590	0
70.258.217.707.497.600	14.796.806.029.838.400	21.226.665.548.084.800	734.238.063.859.913	38.740.285.668.605.100	4.210.999.168.971.550	13.996.100.554.431.700	5.117.405.802.120.240	4.746.091.948.559.110	0
7.606.880.475.374.770	18.384.009.969.220.800	29.339.929.268.453.900	57.036.171.336.762.100	2.595.347.190.007.470	4.269.859.416.742.490	14.006.983.230.326.700	9.159.070.343.135.010	4.564.460.391.989.150	0
6.347.020.017.898.680	9.728.090.859.780.740	19.743.148.416.494.500	34.026.815.899.619.800	30.543.123.624.624.200	5.029.190.132.295.650	1.509.409.115.186.620	8.655.416.824.334.110	4.526.350.938.820.330	0
7.322.828.416.616.520	23.034.290.080.685.200	24.682.124.546.316.000	74.255.804.969.809.700	32.383.273.741.263.200	34.931.321.274.182.200	9.497.937.073.238.910	50.660.145.497.161.100	39.819.688.318.389.700	0
6.777.506.359.435.940	2.070.507.482.906.680	15.228.912.908.891.500	6.182.409.481.989.710	32.139.940.357.304.200	5.232.417.319.701.850	1.268.372.439.366.670	8.616.597.060.753.250	4.263.180.267.696.570	0
6.642.755.695.262.760	16.889.642.168.837.500	3.650.552.425.763.320	6.062.561.086.621.280	2.985.524.799.389.980	47.405.749.017.326.000	14.299.241.868.727.200	7.170.689.113.232.490	4.299.209.281.102.340	0
621.758.491.448.443	2.037.072.216.185.070	15.597.640.883.064.300	77.514.611.859.108.500	3.612.478.096.865.620	452.922.024.905.992	145.971.445.174.402	7.085.097.650.024.320	415.016.690.975.386	0
6.630.122.155.828.680	19.252.170.324.831.700	3.626.970.131.666.210	4.973.866.332.075.410	2.774.992.970.967.100	3.204.708.529.632.040	14.786.347.362.452.300	8.098.021.278.292.360	3.352.764.605.845.470	0
8.051.022.203.026.930	1.717.517.540.369.100	2.833.866.404.002.990	6.392.120.730.986.490	31.900.507.105.995.300	496.906.266.181.651	16.192.870.149.305.000	9.112.321.931.749.050	3.767.443.125.675.900	0
841.608.681.704.654	20.832.602.177.209.500	28.234.906.857.156.100	7.784.123.048.553.010	2.973.305.280.861.980	44.456.010.847.647.300	12.645.175.778.177.400	787.565.328.358.605	49.300.838.102.540.400	0
7.933.067.691.513.920	20.472.428.140.123.800	12.732.888.243.247.400	7.717.186.742.132.450	3.310.871.770.341.710	4.496.856.024.311.420	15.669.628.241.379.100	5.540.407.965.591.150	45.342.330.430.238.300	0
8.942.045.991.487	2.156.737.860.705.190	5.648.867.241.273.910	32.314.384.013.788.300	12.900.000.000.000.000	5.419.154.676.754.550	9.313.770.679.686.220	7.082.837.383.447.700	4.354.287.641.189.530	0
7.033.945.358.536.710	2.466.228.710.490.060	15.428.450.915.708.200	7.570.768.596.359.370	3.056.164.224.886.140	516.217.847.243.303	1.752.681.934.068.450	9.160.279.375.318.570	3.931.730.862.730.210	0
6.816.416.925.295.720	23.726.950.481.139.700	2.417.027.489.447.490	8.706.012.437.470.020	3.497.721.759.615.860	4.770.239.651.307.410	16.574.059.831.350.200	9.294.575.720.286.190	42.747.382.136.106.000	0
6.460.033.522.100.620	215.440.641.301.999	35.775.793.395.721.800	6.502.544.137.326.670	307.563.454.895.814	36.509.414.345.117.800	8.127.542.868.467.740	7.755.495.328.187.680	3.535.597.778.692.280	0
6.227.826.794.815.900	16.992.622.161.321.600	22.550.492.264.225.100	4.973.592.706.222.020	29.740.449.741.812.200	4.604.153.864.081.870	20.789.591.712.522.300	9.330.073.290.085.190	4.007.347.485.187.130	0
5.632.731.646.664.600	2.839.972.840.772.540	2.831.543.777.694.190	7.144.655.074.770.770	31.846.514.597.883.000	4.259.842.126.790.010	11.813.231.171.893.200	6.765.102.459.155.030	5.114.607.051.016.190	0
619.124.144.257.447	2.313.227.966.792.550	29.778.357.876.954.300	438.109.672.011.746	2.483.043.909.176.840	4.889.541.644.367.410	13.022.135.124.285.600	5.406.085.110.281.750	33.150.705.928.492.900	0
7.701.032.797.005.610	121.575.139.230.317	16.978.926.829.044.500	6.812.415.640.336.410	35.425.025.177.160.000	36.822.457.499.711.200	12.997.263.261.412.000	692.602.092.263.662	3.395.482.609.242.570	0
5.646.083.311.861.940	21.934.293.247.231.900	22.455.695.011.751.100	8.283.757.694.778.310	3.860.387.902.287.790	4.012.562.922.845.290	16.650.114.369.808.100	31.174.039.374.468.800	39.385.056.274.364.900	0
7.896.743.922.258.230	19.760.207.770.854.200	9.407.664.038.720.550	9.610.055.885.550.420	40.027.457.921.531.800	270.794.058.781.986	11.300.587.314.258.800	5.320.184.835.708.190	4.889.458.166.019.270	0
6.010.617.576.533.580	18.455.858.174.244.500	15.940.573.270.538.400	8.165.222.040.842.310	4.214.860.891.671.310	3.145.298.133.899.640	20.314.616.737.804.500	8.370.793.779.298.930	4.867.287.404.331.260	0
7.986.018.499.069.500	18.079.555.812.792.400	2.471.299.343.193.110	5.687.865.445.343.610	28.757.088.393.241.800	4.349.545.188.654.380	8.642.494.410.465.070	8.458.196.267.045.220	31.530.047.275.571.500	0
7.565.198.073.160.240	2.134.282.694.402.860	11.246.426.645.933.800	8.208.677.807.352.500	3.772.216.722.685.330	3.417.164.586.410.770	15.669.955.291.483.100	6.723.005.672.019.860	5.185.000.023.597.010	0
5.736.675.708.942.600	18.029.090.762.022.300	12.683.483.292.055.900	7.907.876.694.584.340	4.238.762.969.891.140	4.150.065.755.703.800	12.392.869.404.483.900	8.370.704.535.621.560	27.417.913.083.454.200	0
5.991.371.081.542.700	1.867.226.312.289.010	28.702.952.380.225.000	59.222.929.487.923.800	33.802.759.870.791.300	4.301.851.617.726.480	1.766.455.497.973.960	6.857.319.774.058.020	4.539.371.149.738.400	0
9.723.377.230.792.790	1.908.974.211.219	9.076.646.483.433.450	9.752.087.959.847.040	3.573.847.087.263.990	4.430.374.169.292.220	13.307.823.795.693.400	62.826.687.467.774.900	40.720.633.529.651.800	0
7.736.312.841.132.020	2.250.631.027.760.770	19.496.848.591.923.200	7.158.342.920.651.840	2.899.459.845.331.140	4.339.740.224.944.380	15.153.816.952.353.200	7.476.510.055.608.040	37.009.166.763.765.400	0
671.579.947.892.659	19.316.250.085.071.700	1.600.697.258.771.500	6.369.162.812.139.620	3.144.524.251.299.720	31.627.802.906.999.000	17.865.533.212.878.500	8.519.251.082.066.970	4.999.752.022.622.450	0
8.242.558.635.342.090	15.561.611.241.226.000	2.404.218.816.001.160	7.639.210.005.222.210	3.382.938.679.790.610	41.826.375.748.477.900	13.265.852.598.441.800	6.657.795.244.522.260	35.294.272.368.553.400	0
6.539.546.127.935.380	21.544.520.444.495.800	28.979.767.601.081.700	7.015.365.326.271.720	3.123.354.721.194.510	42.608.347.881.627.700	17.950.000.556.919.500	5.498.387.785.049.690	4.076.403.287.338.450	0
7.007.974.587.155.310	24.890.471.157.708.800	26.136.313.571.195.800	7.773.735.987.643.990	3.350.542.435.069.420	40.375.425.552.642.000	1.090.547.625.548.140	7.533.302.516.708.780	4.628.974.863.583.530	0
7.740.383.939.415.840	17.930.238.137.361.400	12.477.771.817.585.000	9.989.628.390.971.690	4.213.939.899.810.460	4.717.831.533.991.960	8.412.402.056.532.410	66.163.439.242.252	30.133.608.396.173.100	0
5.772.769.697.849.310	18.606.060.347.906.900	26.693.761.606.845.600	5.808.579.500.930.300	333.073.364.224.501	3.128.693.643.369.370	12.376.272.275.359.600	3.276.116.091.576.360	4.154.685.423.680.430	0
7.571.684.493.181.060	17.300.833.849.223.700	8.835.555.875.821.100	9.566.105.409.835.140	4.362.940.711.606.470	3.058.344.870.063.120	11.009.592.033.927.400	9.248.188.501.756.860	39.202.876.880.129.300	0
8.733.525.329.569.860	20.339.613.019.500.500	24.578.421.221.310.600	6.594.144.886.088.990	2.886.784.626.440.960	33.682.465.618.510.200	1.670.192.017.237.490	6.879.306.179.495.850	31.492.018.002.221.200	0
6.917.858.355.091.130	20.070.550.533.330.300	2.765.160.909.872.820	6.529.774.495.645.810	3.216.964.552.079.030	45.363.750.973.401.900	11.283.386.641.171.700	9.194.218.052.267.150	5.544.167.317.192.910	0
8.512.780.908.859.230	15.766.691.751.062.700	33.092.669.352.987.600	6.765.469.172.057.380	30.585.557.049.491.800	3.776.189.451.426.830	13.309.390.963.575.900	4.301.942.664.516.460	4.026.622.093.912.990	0
65.391.152.614.962.900	21.861.969.925.707.600	23.308.296.877.049.100	7.177.445.308.764.300	3.554.438.312.769.710	5.851.664.269.959.140	10.742.145.849.226.800	4.077.385.620.785.000	421.167.195.883.605	0
8.227.083.130.096.280	274.351.886.995.951	40.546.956.331.528.800	7.130.161.148.170.630	24.144.691.729.106.900	41.767.370.224.607.400	9.809.669.141.814.250	7.939.710.488.560.050	3.619.181.847.561.850	0
7.274.198.050.602.530	15.611.082.919.985.300	16.255.901.371.056.700	7.654.550.197.659.410	3.811.804.664.929.220	59.180.147.197.882	1.231.249.282.127.690	5.968.051.841.776.580	31.527.627.940.382.800	0
7.118.980.168.364.620	1.609.626.028.404.410	32.528.115.614.330.900	5.089.127.565.678.710	29.228.788.840.693.200	44.031.787.086.414.400	10.008.145.983.025.400	6.167.980.126.131.580	5.349.210.585.555.070	0
5.941.942.536.401.310	2.491.635.668.787.830	1.477.803.287.527.180	6.390.679.360.955.500	33.579.608.153.565.300	5.175.468.169.196.520	1.593.187.939.664.770	6.655.141.892.497.080	4.302.179.284.726.430	0
7.278.910.903.182.800	13.525.927.247.295.600	2.218.452.703.251.260	7.156.540.539.745.270	3.579.097.951.607.640	48.014.310.859.442.800	11.316.001.571.498.200	549.439.919.588.549	4.201.577.246.628.750	0
744.518.902.590.451	15.077.572.348.289.700	4.168.196.993.742.780	10.573.402.909.396.400	4.765.397.173.325.510	35.557.848.095.397.800	1.535.242.481.672.500	7.476.097.575.082.570	2.745.803.764.968.090	0
6.442.496.436.487.840	18.307.135.490.630.200	11.592.445.624.124.900	8.960.736.007.790.150	40.824.267.034.225.700	3.850.148.667.810.810	1.614.825.846.036.470	833.325.162.575.065	28.910.188.785.912.500	0
6.919.726.155.212.070	1.948.589.998.924.050	3.555.873.164.724.470	6.371.977.545.205.870	29.978.671.080.756.500	39.482.932.593.815.900	11.983.960.883.245.500	6.985.313.473.730.640	4.120.827.880.347.170	0
6.472.371.049.680.760	164.768.901.465.965	24.246.503.564.672.100	7.623.012.262.282.320	3.732.128.081.132.750	3.680.795.100.773.870	12.764.140.707.841.100	9.679.540.303.165.850	4.134.575.196.718.200	0
8.251.217.779.681.040	16.738.535.324.121.100	1.761.787.630.929.650	7.044.432.594.927.270	32.340.003.158.942.100	2.774.127.111.055.730	12.493.510.203.318.900	61.275.234.034.923.600	3.495.062.986.026.910	0
6.528.490.775.347.880	18.442.915.953.995.700	10.835.201.157.145.400	68.263.306.319.169	3.787.757.199.826.990	4.304.187.865.497.370	13.621.324.969.131.300	10.082.179.194.268.400	4.585.971.676.210.260	0
74.943.911.014.551.400	20.519.070.668.715.600	25.058.160.217.144.000	6.881.658.941.448.610	327.949.396.430.524	3.130.915.196.352.880	1.658.907.203.986.130	729.767.414.405.051	35.796.518.380.797.400	0
6.957.433.637.931.850	21.438.013.896.465.300	15.007.421.534.208.500	6.997.160.010.542.580	3.288.187.599.960.370	4.685.550.615.423.040	1.740.726.103.994.770	10.420.710.403.163.900	48.920.504.401.910.200	0
6.509.621.638.211.160	19.775.950.261.019.100	20.122.192.563.757.500	6.862.782.053.514.220	3.530.119.743.810.490	4.727.093.808.844.900	11.058.818.499.412.800	6.466.330.907.028.900	3.802.819.638.132.030	0
8.069.297.892.811.400	1.910.041.071.514.580	16.654.509.370.021.200	8.038.212.717.585.300	35.057.795.005.359.800	4.182.000.717.349.230	1.229.376.978.964.230	4.900.925.640.494.750	3.021.381.555.454.750	0
6.790.838.199.257.250	27.160.121.237.018.700	14.348.572.923.584.900	9.923.315.466.056.430	368.842.011.462.866	6.106.295.503.471.940	9.386.798.893.815.750	9.140.211.169.023.880	34.382.798.388.279.700	0
6.975.209.177.557.350	17.542.103.940.460.600	35.701.155.320.153.000	5.494.254.342.147.780	29.005.280.223.476.900	40.105.880.173.318.000	10.285.282.646.157.400	6.642.057.889.523.180	5.256.483.549.715.020	0
7.422.225.264.350.390	2.033.233.078.947.160	401.481.237.214.392	5.602.313.546.992.770	25.659.045.112.674.500	4.017.754.572.096.600	9.025.661.103.805.190	53.019.584.971.118.600	4.486.512.692.528.830	0
6.505.065.806.504.930	22.641.960.935.560.600	169.821.319.743.572	6.938.467.052.899.350	31.824.571.032.014.900	4.840.922.845.308.060	18.527.104.768.188.900	8.046.281.040.970.470	2.890.998.522.404.090	0
6.617.862.257.193.740	17.428.056.626.124.500	3.324.563.058.729.510	7.022.187.020.358.020	3.261.684.795.063.340	47.992.053.778.243.500	1.591.891.223.356.210	60.339.793.534.645.500	46.013.511.981.931.300	0
6.769.769.338.622.250	1.783.317.527.085.830	1.698.025.848.095.070	70.516.974.329.329.600	3.699.062.775.175.160	2.994.049.766.499.820	18.703.656.956.003.300	6.286.852.727.495.880	3.846.611.900.914.840	0
6.341.751.223.983.170	1.399.594.710.306.090	1.805.832.029.168.450	8.361.337.388.791.460	4.176.024.458.054.150	347.464.419.055.724	13.314.421.742.679.300	58.220.981.541.955.700	401.901.054.979.541	0
7.058.866.081.279.620	19.154.840.067.332.100	16.473.067.089.156.100	8.435.789.355.784.170	367.853.179.516.565	4.629.937.286.589.570	12.574.420.474.722.500	1.752.776.496.124.560	393.733.418.398.454	0
753.928.739.507.425	25.849.007.575.555.600	26.999.382.075.920.200	7.002.092.479.278.950	2.668.031.230.536.760	35.219.591.205.388.600	1.465.080.895.317.060	5.915.884.348.385.830	5.427.372.664.623.760	0
6.037.428.193.759.530	22.703.399.369.193.400	12.988.791.228.835.700	847.690.539.073.455	39.238.052.852.102.200	30.638.628.263.043.800	7.122.391.112.549.330	4.119.050.735.980.770	35.942.173.638.562.300	0
6.706.695.161.498.070	23.292.659.800.920.300	27.881.504.407.398.300	7.881.448.097.184.410	3.371.110.166.665.460	44.320.877.425.682.000	14.523.389.119.631.800	6.412.174.012.693.110	4.371.882.444.533.670	0
67.588.516.972.065.900	21.815.347.702.100.200	2.254.077.516.736.360	7.196.435.142.502.070	3.046.805.991.847.940	3.825.026.997.574.060	18.838.735.399.443.000	53.815.434.821.713	36.399.718.759.658.700	0
6.904.121.373.223.550	22.896.041.790.058.700	10.836.969.782.381.500	7.792.593.266.848.890	36.229.655.205.650.000	513.188.841.524.663	12.704.460.037.782.200	40.546.036.848.968.300	4.141.819.203.370.410	0
7.846.057.926.337.260	22.405.887.682.392.900	23.264.109.967.729.100	592.236.704.115.349	30.040.262.012.672.200	38.797.133.579.683.300	1.340.673.745.495.120	4.307.518.646.611.740	24.879.686.470.023.500	0
61.798.098.000.471.800	24.883.326.298.226.500	15.391.559.151.103.300	8.014.257.063.844.760	2.730.868.900.719.400	48.762.573.298.982.800	9.696.477.802.501.700	6.969.702.548.357.230	3.704.324.220.484.780	0
6.755.669.308.054.410	2.093.620.748.431.510	13.821.556.160.396.800	7.557.414.861.694.830	3.346.195.242.255.770	4.990.709.093.289.450	1.933.914.306.738.310	810.987.461.135.178	39.595.176.374.849.500	0
7.266.598.792.423.610	9.845.293.050.958.620	3.649.014.303.222.340	7.138.813.885.803.810	42.318.748.493.813.500	5.028.830.672.995.570	7.360.771.583.163.050	7.629.028.545.593.810	4.952.733.208.187.270	0
6.980.061.938.695.870	16.412.718.036.682.400	17.625.466.412.216.300	64.795.578.439.453.900	3.727.483.191.474.200	4.927.034.162.141.230	1.166.575.309.215.890	487.102.932.160.505	3.969.463.254.406.420	0
5.899.936.566.709.940	20.591.378.641.281.100	30.379.359.440.703.500	944.614.797.716.712	3.122.832.102.290.350	5.123.365.276.692.060	6.306.055.459.593.090	5.506.524.300.548.860	38.589.788.145.579.100	0
7.260.904.363.269.180	18.907.796.196.095.800	21.391.162.543.994.000	657.686.619.244.806	3.566.222.215.229.290	3.902.852.661.378.640	14.391.606.181.742.200	8.108.245.565.024.630	4.383.823.385.030.870	0
5.575.920.648.115.460	22.337.400.729.842.000	1.455.313.230.781.550	9.689.175.439.096.320	2.346.098.078.374.300	25.296.832.778.421.400	1.224.948.915.387.450	5.952.300.261.268.850	429.444.755.906.491	0
54.674.012.550.751.700	19.702.892.616.332.400	1.288.316.353.093.340	9.264.883.097.334.060	3.474.212.658.560.190	35.517.571.217.513.500	12.762.546.321.142.700	671.595.324.059.163	37.178.227.183.596.700	0
609.001.605.715.742	21.673.623.190.750.200	12.558.897.972.763.000	9.297.299.630.484.830	31.798.323.592.892.100	4.094.272.358.027.410	10.754.841.552.597.500	30.965.844.291.394.100	29.435.217.121.887.800	0
8.205.447.052.623.700	14.579.731.742.174.100	1.798.125.477.626.450	6.580.460.163.575.960	3.593.925.666.697.950	42.039.422.277.709.600	15.856.797.119.382.900	10.071.230.585.069.700	37.399.216.697.331.600	0
7.670.505.864.185.260	12.333.664.392.409.000	33.843.619.447.035.100	5.216.368.724.811.040	3.907.458.254.593.590	4.629.676.393.288.200	18.698.729.925.554.900	8.290.465.739.656.950	39.338.264.604.613.100	0
6.791.097.166.019.480	2.091.281.632.690.470	20.149.179.673.348.100	5.803.999.900.907.860	28.835.685.587.854.000	2.913.042.115.534.740	12.327.335.187.989.200	5.730.357.734.705.350	30.840.397.616.728.600	0
6.006.769.481.080.510	22.687.409.855.898.400	20.279.701.038.209.300	816.641.628.348.054	2.255.166.278.231.670	27.598.659.525.504.900	9.650.786.456.157.500	52.640.025.479.900.400	4.034.754.809.022.690	0
63.363.427.618.897.500	2.140.719.823.073.070	14.619.627.261.341.900	6.584.414.155.349.210	3.159.967.928.764.240	3.707.956.044.678.600	1.221.941.068.380.450	836.688.789.897.106	3.788.803.320.404.230	0
7.473.235.376.592.180	22.326.493.624.122.700	1.993.258.522.525.500	5.770.106.829.394.260	31.770.885.391.272.300	5.903.251.264.863.390	13.556.911.202.210.000	8.945.357.544.954.430	3.877.714.249.855.090	0
7.380.104.834.625.330	23.792.263.717.888.200	16.862.543.476.270.600	7.101.816.885.471.470	30.618.292.499.042.200	4.786.545.180.309.780	13.254.475.387.897.600	9.286.455.712.547.510	50.304.522.019.670.100	0
5.915.944.299.587.390	27.426.361.790.766.400	6.967.735.565.126.040	10.069.434.543.192.100	24.764.574.323.055.000	32.123.681.397.405.700	12.092.166.763.172.700	39.448.592.869.747.600	2.585.849.315.185.790	0
6.124.847.329.190.020	15.169.135.775.517.900	15.092.017.644.538.000	6.610.787.894.788.270	38.231.896.069.527.200	38.813.753.086.454.600	1.662.195.941.496.430	6.916.784.699.916.510	4.211.967.654.412.950	0
65.854.502.296.739.000	16.696.596.051.286.800	30.210.250.367.370.100	9.508.298.704.434.810	3.402.457.660.548.390	43.007.859.090.487.200	23.234.325.912.094.300	7.279.991.739.038.920	42.756.402.479.314.500	0
6.342.671.183.447.910	15.704.612.543.664.200	210.796.062.064.613	72.750.778.455.326.800	3.188.534.483.286.760	3.510.242.556.927.130	14.019.148.917.843.400	6.440.749.779.849.460	4.582.591.795.430.540	0
66.329.902.541.703.600	2.383.247.509.420.510	12.829.092.777.695.100	7.347.360.636.957.940	3.313.018.774.575.850	45.173.441.671.518.100	1.964.092.250.089.200	7.320.154.424.391.990	4.360.851.169.963.940	0
5.365.192.408.000.010	23.829.121.240.025.700	16.262.939.245.595.900	7.507.931.030.671.620	2.555.446.783.507.180	3.935.338.791.839.140	12.465.043.478.695.500	2.709.570.289.768.940	31.807.984.567.770.400	0
6.920.388.988.495.380	25.235.279.917.896.800	11.086.259.857.978.200	9.993.375.713.943.580	2.857.447.583.599.590	368.629.147.028.837	17.120.803.324.175.500	43.667.082.262.303.200	32.776.013.640.231.300	0
7.974.248.428.106.490	17.375.077.581.038.900	26.848.629.841.597.500	60.555.337.414.100.100	3.379.404.816.953.750	34.774.806.121.506.000	13.757.564.052.869.400	7.553.536.915.259.590	31.959.442.509.174.900	0
8.031.055.220.266.790	22.262.842.448.622.500	1.813.483.502.046.910	8.754.513.037.929.020	31.447.156.580.599.500	45.297.028.465.169.300	1.206.596.280.304.260	7.854.971.218.738.900	3.338.880.125.546.950	0
7.731.315.009.102.490	16.904.968.404.675.200	38.356.226.496.408.900	6.028.454.348.997.830	2.973.293.549.887.180	525.879.408.394.896	1.607.111.983.139.480	7.490.970.542.124.940	5.164.284.274.583.000	0
6.268.402.755.741.020	154.681.902.265.275	23.050.331.256.744.600	6.832.938.265.357.900	29.070.323.628.882.800	4.212.202.280.406.860	13.881.357.478.476.300	6.589.139.217.679.380	3.389.705.289.941.090	0
7.369.911.642.352.920	15.564.480.514.137.400	19.283.402.051.083.700	543.502.468.987.419	3.999.407.843.772.090	39.132.421.549.532.100	18.148.561.789.737.400	6.369.861.685.922.970	3.821.721.167.441.020	0
632.037.528.471.829	16.582.154.526.373.600	20.481.642.070.831.500	7.605.958.274.587.520	3.542.890.347.846.690	4.223.410.482.213.270	14.793.959.847.534.100	46.043.064.509.411.000	27.286.173.523.352.600	0
729.008.857.213.943	20.521.310.511.493.900	26.115.616.326.376.300	51.378.906.197.941.500	3.577.940.881.357.530	4.028.747.985.602.170	7.960.477.540.363.510	6.369.851.443.868.730	4.700.618.335.949.310	0
635.651.106.246.199	16.461.818.523.150.100	1.753.854.117.200.980	8.345.192.367.125.110	34.514.495.757.438.700	43.095.950.454.152.100	15.329.437.895.303.900	470.213.818.503.514	341.552.552.539.749	0
7.974.065.001.358.430	16.022.418.165.431.900	29.477.764.398.921.800	24.560.135.962.074.700	32.405.559.223.457.200	3.712.119.513.238.150	18.693.915.043.943.700	54.280.623.851.348	40.690.866.977.984.000	0
770.036.230.513.608	220.571.796.189.289	29.432.208.251.104.200	63.562.936.459.646.800	32.275.032.774.515.400	4.449.576.178.720.100	13.027.439.284.931.600	7.782.980.159.042.590	3.786.486.994.275.800	0
6.054.607.180.419.150	228.198.026.777.358	10.215.812.416.702.300	5.983.974.183.637.750	3.067.968.615.478.780	44.149.850.043.692.600	17.229.149.428.715.500	6.534.021.270.301.880	4.889.163.359.744.530	0
4.221.420.679.849.150	12.056.012.957.597.100	3.437.019.711.329.970	7.960.887.806.787.360	41.158.083.006.043.400	43.677.459.795.692.800	14.395.838.766.219.500	64.601.468.391.238	4.278.712.401.471.590	0
7.752.176.212.505.220	18.206.470.492.239.400	13.655.680.652.619.300	681.724.723.500.068	3.377.537.757.940.980	32.821.725.120.628.400	1.523.112.896.268.700	9.225.506.241.512.600	4.725.507.109.575.070	0
5.588.129.750.721.390	22.081.752.245.556.800	8.730.312.435.580.880	8.321.896.839.642.250	300.220.427.519.446	4.127.085.568.227.770	6.478.625.963.896.490	8.063.780.586.935.800	31.656.184.818.533.200	0
8.649.868.625.073.690	17.858.875.346.487.100	18.503.766.525.364.000	7.240.819.804.667.900	3.562.630.797.964.430	3.295.041.913.354.120	15.280.653.237.568.200	8.378.347.668.765.990	30.816.812.395.256.100	0
7.899.256.515.294.080	18.770.065.418.364.000	32.210.816.300.635.000	4.996.763.122.252.450	3.205.323.627.298.300	4.001.498.057.970.940	19.873.604.273.657.500	4.691.334.159.337.460	4.448.170.569.609.330	0
5.952.267.969.284.850	13.689.053.061.148.500	28.105.964.887.110.600	7.330.957.605.306.170	3.898.097.463.056.350	4.239.639.950.474.150	15.373.779.853.058.000	6.896.979.299.855.160	4.769.768.271.388.480	0
80.401.875.566.739	20.180.921.648.090.700	11.861.550.851.625.700	7.200.309.830.200.360	30.039.843.505.614.800	4.205.492.185.259.850	7.168.607.176.843.630	9.076.177.553.387.300	3.221.138.969.011.630	0
43.132.191.507.406.900	19.111.933.730.430.400	12.770.831.829.545.300	8.231.574.473.126.980	2.849.459.492.993.560	49.985.479.662.246.500	13.501.270.567.670.400	7.644.396.140.716.930	39.235.902.023.946.700	0
8.817.402.774.388.950	1.757.549.712.209.070	23.173.319.529.683.700	6.730.860.948.186.200	3.671.541.839.092.350	5.520.745.439.981.170	77.331.092.700.546.200	9.144.335.575.809.900	38.640.984.193.819.500	0
7.476.408.459.668.980	24.618.471.915.057.000	27.109.895.609.120.400	9.791.960.767.671.590	34.116.363.121.404.500	33.972.998.778.136.200	1.621.767.979.489.950	7.760.302.138.548.290	3.478.193.780.402.120	0
7.691.486.298.425.760	15.518.531.929.611.400	36.578.223.745.304.900	7.690.727.720.492.950	4.051.693.860.001.740	5.368.895.891.431.410	16.214.965.646.843.300	7.758.205.050.309.270	4.042.497.483.266.320	0
892.790.592.593.881	18.805.441.914.637.500	2.213.987.884.847.060	4.252.721.409.787.040	3.763.345.659.353.760	43.851.558.702.553.800	8.597.973.315.529.080	928.283.206.111.665	5.474.354.698.144.380	0
5.621.227.320.090.060	2.216.494.395.105.220	11.123.886.159.113.600	8.809.433.144.146.190	314.871.341.738.526	32.635.087.250.959.600	19.312.536.347.647.800	8.437.732.321.632.730	34.407.533.246.763.000	0
7.566.517.124.512.960	20.539.658.173.924.800	3.082.373.049.012.330	7.816.636.046.720.320	35.417.597.229.016.900	3.952.972.754.581.450	120.952.514.943.545	6.376.770.203.940.320	32.751.420.374.154.500	0
61.156.375.458.102	2.409.751.558.941.710	15.765.786.717.700.900	1.008.834.488.989.320	3.394.024.396.808.050	4.073.195.392.577.160	21.305.048.365.048.400	6.307.159.746.604.630	3.723.625.473.260.450	0
75.952.287.240.491.200	18.837.328.166.761.500	32.869.474.407.709.200	6.745.588.411.685.340	3.652.086.921.643.370	32.662.713.134.850.900	13.883.328.949.728.100	7.343.822.049.135.190	34.976.041.136.035.400	0
7.399.724.707.648.920	25.801.994.705.795.900	18.535.046.451.649.400	5.497.159.162.658.310	3.398.389.767.993.210	3.546.673.118.033.930	14.979.000.065.338.600	7.300.849.575.658.600	3.795.124.079.678.790	0
534.534.537.107.888	23.851.022.998.356.700	10.315.353.973.322.300	7.822.600.687.352.600	28.177.170.706.015.600	49.635.087.527.790.200	12.624.613.199.723.500	8.734.283.315.176.270	23.628.860.224.049.000	0
7.095.569.331.079.970	19.673.492.722.872.400	30.235.170.803.134.400	5.984.901.234.985.340	3.082.036.941.305.010	4.539.547.573.248.860	16.062.738.972.538.400	31.555.010.162.203.100	4.861.276.291.728.900	0
